X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], AREA_STRETCH, THICKNESS [ m ], THICKNESS DES [ m ], THICKNESS INI [ m ], THICKNESS NEW [ m ], THICKNESS PRF [ m ], Volume [ m^3 ]
9.07491147518157958984e-03, 1.20067317038774490356e-02, 8.64448845386505126953e-02, 1.30237094708718359470e-05, 1.86055040359497070313e+00, 1.49966916069388389587e-03, 1.50000001303851604462e-03, 2.75388639420270919800e-03, 2.77014728635549545288e-03, 2.75444262661039829254e-03, 0.00000000000000000000e+00
5.35067683085799217224e-03, 1.31540363654494285583e-02, 2.29154601693153381348e-02, 1.65112160175340250134e-05, 2.40504074096679687500e+00, 1.81966531090438365936e-03, 1.50000001303851604462e-03, 4.13923757150769233704e-03, 4.09513013437390327454e-03, 3.50042851641774177551e-03, 0.00000000000000000000e+00
4.04037581756711006165e-03, 1.00543685257434844971e-02, 2.03852523118257522583e-02, 1.46944157677353359759e-05, 2.39724683761596679688e+00, 1.95494480431079864502e-03, 1.50000001303851604462e-03, 3.70388850569725036621e-03, 3.68688511662185192108e-03, 3.01857385784387588501e-03, 0.00000000000000000000e+00
1.98626130440970882773e-05, 7.83702079206705093384e-03, 1.85578316450119018555e-02, 4.64514914710889570415e-06, 5.79242825508117675781e-01, 4.19415486976504325867e-03, 1.50000001303851604462e-03, 2.40900390781462192535e-03, 2.40781577304005622864e-03, 1.46966811735183000565e-03, 0.00000000000000000000e+00
1.04401835415046662092e-04, 6.68343156576156616211e-03, 1.58076584339141845703e-02, 4.04977208745549432933e-06, 5.12099862098693847656e-01, 2.62012146413326263428e-03, 1.50000001303851604462e-03, 1.50146358646452426910e-03, 1.50011351797729730606e-03, 9.69027460087090730667e-04, 0.00000000000000000000e+00
-6.39887866782373748720e-06, 4.86496975645422935486e-03, 1.57875027507543563843e-02, 5.50646336705540306866e-06, 6.85156643390655517578e-01, 1.81257282383739948273e-03, 1.50000001303851604462e-03, 1.50146358646452426910e-03, 1.50011351797729730606e-03, 1.28111534286290407181e-03, 0.00000000000000000000e+00
1.30385606098570860922e-05, 2.58347718045115470886e-03, 1.57875567674636840820e-02, 6.44955434836447238922e-06, 7.23208010196685791016e-01, 1.56282831449061632156e-03, 1.50000001303851604462e-03, 1.50146358646452426910e-03, 1.50011351797729730606e-03, 1.44891894888132810593e-03, 0.00000000000000000000e+00
2.33104601647937670350e-05, 6.42623926978558301926e-05, 1.57910604029893875122e-02, 6.79306231177179142833e-06, 7.00097382068634033203e-01, 1.50324590504169464111e-03, 1.50000001303851604462e-03, 1.50146358646452426910e-03, 1.50011351797729730606e-03, 1.49854738265275955200e-03, 0.00000000000000000000e+00
2.09332738450029864907e-05, -2.46268906630575656891e-03, 1.58139951527118682861e-02, 6.50054471407202072442e-06, 7.28173911571502685547e-01, 1.55422487296164035797e-03, 1.50000001303851604462e-03, 1.50146358646452426910e-03, 1.50011351797729730606e-03, 1.45582098048180341721e-03, 0.00000000000000000000e+00
3.76820535166189074516e-05, -4.75965859368443489075e-03, 1.58599503338336944580e-02, 5.60565104024135507643e-06, 6.96698248386383056641e-01, 1.79699505679309368134e-03, 1.50000001303851604462e-03, 1.50146358646452426910e-03, 1.50011351797729730606e-03, 1.29089050460606813431e-03, 0.00000000000000000000e+00
3.50035661540459841490e-05, -6.60405261442065238953e-03, 1.59176383167505264282e-02, 4.17674209529650397599e-06, 5.17069101333618164063e-01, 2.49086716212332248688e-03, 1.50000001303851604462e-03, 1.47288676816970109940e-03, 1.47176859900355339050e-03, 9.82957193627953529358e-04, 0.00000000000000000000e+00
7.25161735317669808865e-05, -7.80887017026543617249e-03, 1.87218002974987030029e-02, 4.80897824672865681350e-06, 6.03100776672363281250e-01, 3.81650379858911037445e-03, 1.50000001303851604462e-03, 2.35185050405561923981e-03, 2.35112593509256839752e-03, 1.49334908928722143173e-03, 0.00000000000000000000e+00
4.18974179774522781372e-03, -1.01078310981392860413e-02, 2.05027274787425994873e-02, 1.49756888276897370815e-05, 2.39848589897155761719e+00, 1.93252507597208023071e-03, 1.50000001303851604462e-03, 3.70388850569725036621e-03, 3.68688511662185192108e-03, 3.03569878451526165009e-03, 0.00000000000000000000e+00
5.42132649570703506470e-03, -1.31956711411476135254e-02, 2.31550987809896469116e-02, 1.66307981999125331640e-05, 2.39117169380187988281e+00, 1.82967761065810918808e-03, 1.50000001303851604462e-03, 4.13923757150769233704e-03, 4.09513013437390327454e-03, 3.48455226048827171326e-03, 0.00000000000000000000e+00
5.33755542710423469543e-03, -1.40278507024049758911e-02, 2.62180529534816741943e-02, 1.48430517583619803190e-05, 2.04027462005615234375e+00, 1.80167774669826030731e-03, 1.50000001303851604462e-03, 3.77690559253096580505e-03, 3.80252790637314319611e-03, 3.20556317456066608429e-03, 0.00000000000000000000e+00
5.00735780224204063416e-03, -1.39946220442652702332e-02, 2.92608775198459625244e-02, 1.41301024996209889650e-05, 2.00107216835021972656e+00, 1.57982925884425640106e-03, 1.50000001303851604462e-03, 3.18364636041224002838e-03, 3.26206116005778312683e-03, 3.03702172823250293732e-03, 0.00000000000000000000e+00
4.92344936355948448181e-03, -1.41262905672192573547e-02, 3.22534367442131042480e-02, 1.35896434585447423160e-05, 1.93386578559875488281e+00, 1.51900481432676315308e-03, 1.50000001303851604462e-03, 2.93430499732494354248e-03, 2.95351399108767509460e-03, 2.90123280137777328491e-03, 0.00000000000000000000e+00
4.78357030078768730164e-03, -1.41022354364395141602e-02, 3.51110137999057769775e-02, 1.30908056235057301819e-05, 1.87837851047515869141e+00, 1.52130867354571819305e-03, 1.50000001303851604462e-03, 2.83463695086538791656e-03, 2.81940144486725330353e-03, 2.79897963628172874451e-03, 0.00000000000000000000e+00
4.68331342563033103943e-03, -1.40597773715853691101e-02, 3.78896407783031463623e-02, 1.26905879369587637484e-05, 1.83284580707550048828e+00, 1.52078061364591121674e-03, 1.50000001303851604462e-03, 2.77146999724209308624e-03, 2.75590736418962478638e-03, 2.73733935318887233734e-03, 0.00000000000000000000e+00
4.61105443537235260010e-03, -1.40778077766299247742e-02, 4.05981577932834625244e-02, 1.24841481010662391782e-05, 1.81597876548767089844e+00, 1.52205082122236490250e-03, 1.50000001303851604462e-03, 2.73701315745711326599e-03, 2.72580911405384540558e-03, 2.70136748440563678741e-03, 0.00000000000000000000e+00
4.58308542147278785706e-03, -1.41366720199584960938e-02, 4.32904064655303955078e-02, 1.24084008348290808499e-05, 1.80853927135467529297e+00, 1.52204127516597509384e-03, 1.50000001303851604462e-03, 2.72283656522631645203e-03, 2.71386001259088516235e-03, 2.68735038116574287415e-03, 0.00000000000000000000e+00
4.56868298351764678955e-03, -1.41747072339057922363e-02, 4.59477864205837249756e-02, 1.23467953017097897828e-05, 1.81156659126281738281e+00, 1.51701760478317737579e-03, 1.50000001303851604462e-03, 2.71077943034470081329e-03, 2.69349850714206695557e-03, 2.68341228365898132324e-03, 0.00000000000000000000e+00
4.56214463338255882263e-03, -1.41893131658434867859e-02, 4.85986359417438507080e-02, 1.23136678666924126446e-05, 1.80775403976440429688e+00, 1.51846813969314098358e-03, 1.50000001303851604462e-03, 2.70705390721559524536e-03, 2.67813075333833694458e-03, 2.67742550931870937347e-03, 0.00000000000000000000e+00
4.56872256472706794739e-03, -1.41951218247413635254e-02, 5.12333437800407409668e-02, 1.22941555673605762422e-05, 1.80128669738769531250e+00, 1.52112357318401336670e-03, 1.50000001303851604462e-03, 2.70756660029292106628e-03, 2.67424667254090309143e-03, 2.67372722737491130829e-03, 0.00000000000000000000e+00
4.59292577579617500305e-03, -1.42264859750866889954e-02, 5.38668595254421234131e-02, 1.23784211609745398164e-05, 1.81189715862274169922e+00, 1.50631892029196023941e-03, 1.50000001303851604462e-03, 2.69259000197052955627e-03, 2.68300808966159820557e-03, 2.68253707326948642731e-03, 0.00000000000000000000e+00
4.62992861866950988770e-03, -1.42576936632394790649e-02, 5.65234124660491943359e-02, 1.24930456877336837351e-05, 1.82566988468170166016e+00, 1.48879631888121366501e-03, 1.50000001303851604462e-03, 2.67533701844513416290e-03, 2.69400398246943950653e-03, 2.69345846027135848999e-03, 0.00000000000000000000e+00
4.67272941023111343384e-03, -1.42496414482593536377e-02, 5.91921247541904449463e-02, 1.25585074783884920180e-05, 1.82161509990692138672e+00, 1.48995430208742618561e-03, 1.50000001303851604462e-03, 2.67647556029260158539e-03, 2.69352947361767292023e-03, 2.69272155128419399261e-03, 0.00000000000000000000e+00
4.73573012277483940125e-03, -1.42247360199689865112e-02, 6.18682019412517547607e-02, 1.26033592096064239740e-05, 1.81835222244262695313e+00, 1.49300519842654466629e-03, 1.50000001303851604462e-03, 2.67747300677001476288e-03, 2.68995738588273525238e-03, 2.68876319751143455505e-03, 0.00000000000000000000e+00
4.81837987899780273438e-03, -1.41914281994104385376e-02, 6.45563229918479919434e-02, 1.26796885524527169764e-05, 1.81605219841003417969e+00, 1.49588997010141611099e-03, 1.50000001303851604462e-03, 2.67919339239597320557e-03, 2.68757413141429424286e-03, 2.68582184799015522003e-03, 0.00000000000000000000e+00
4.92341862991452217102e-03, -1.41493091359734535217e-02, 6.72611221671104431152e-02, 1.27610646813991479576e-05, 1.81375563144683837891e+00, 1.49832828901708126068e-03, 1.50000001303851604462e-03, 2.68194847740232944489e-03, 2.68738623708486557007e-03, 2.68464162945747375488e-03, 0.00000000000000000000e+00
5.04737440496683120728e-03, -1.41170825809240341187e-02, 6.99778720736503601074e-02, 1.28905130623024888337e-05, 1.81805908679962158203e+00, 1.49344955570995807648e-03, 1.50000001303851604462e-03, 2.67831352539360523224e-03, 2.69257044419646263123e-03, 2.68890033476054668427e-03, 0.00000000000000000000e+00
5.11533347889780998230e-03, -1.40750436112284660339e-02, 7.27269947528839111328e-02, 1.29720256154541857541e-05, 1.82168579101562500000e+00, 1.48970156442373991013e-03, 1.50000001303851604462e-03, 2.67780851572751998901e-03, 2.69955070689320564270e-03, 2.69447290338575839996e-03, 0.00000000000000000000e+00
5.17847528681159019470e-03, -1.41001585870981216431e-02, 7.54854083061218261719e-02, 1.29692052723839879036e-05, 1.82236969470977783203e+00, 1.49489729665219783783e-03, 1.50000001303851604462e-03, 2.68505956046283245087e-03, 2.69914232194423675537e-03, 2.69332528114318847656e-03, 0.00000000000000000000e+00
5.13047119602560997009e-03, -1.39989648014307022095e-02, 7.82483890652656555176e-02, 1.29304344227421097457e-05, 1.81007742881774902344e+00, 1.51072279550135135651e-03, 1.50000001303851604462e-03, 2.70122592337429523468e-03, 2.69266311079263687134e-03, 2.68403510563075542450e-03, 0.00000000000000000000e+00
5.06452657282352447510e-03, -1.39846270903944969177e-02, 8.10038447380065917969e-02, 1.27903413158492185175e-05, 1.80340600013732910156e+00, 1.52510148473083972931e-03, 1.50000001303851604462e-03, 2.72170407697558403015e-03, 2.69324169494211673737e-03, 2.68138805404305458069e-03, 0.00000000000000000000e+00
4.92022465914487838745e-03, 1.39936273917555809021e-02, 8.35702419281005859375e-02, 1.29477284644963219762e-05, 1.82498311996459960938e+00, 1.51316798292100429535e-03, 1.50000001303851604462e-03, 2.73171137087047100067e-03, 2.71707307547330856323e-03, 2.71050003357231616974e-03, 0.00000000000000000000e+00
5.00031607225537300110e-03, 1.40054300427436828613e-02, 8.07937607169151306152e-02, 1.28639649119577370584e-05, 1.80195534229278564453e+00, 1.52432313188910484314e-03, 1.50000001303851604462e-03, 2.72170407697558403015e-03, 2.69324169494211673737e-03, 2.68261297605931758881e-03, 0.00000000000000000000e+00
4.91809565573930740356e-03, 1.40359308570623397827e-02, 8.63761454820632934570e-02, 1.31120032165199518204e-05, 1.85823202133178710938e+00, 1.50114891584962606430e-03, 1.50000001303851604462e-03, 2.75388639420270919800e-03, 2.77014728635549545288e-03, 2.75198463350534439087e-03, 0.00000000000000000000e+00
1.19866300374269485474e-02, -8.71460232883691787720e-03, 8.93871784210205078125e-02, 1.30939897644566372037e-05, 1.88918900489807128906e+00, 1.50658760685473680496e-03, 1.50000001303851604462e-03, 2.82100099138915538788e-03, 2.83438689075410366058e-03, 2.80982698313891887665e-03, 0.00000000000000000000e+00
1.42546519637107849121e-02, -4.68859449028968811035e-03, 8.94253104925155639648e-02, 1.31473670990089885890e-05, 1.91832423210144042969e+00, 1.49824062827974557877e-03, 1.50000001303851604462e-03, 2.82100099138915538788e-03, 2.83438689075410366058e-03, 2.82388296909630298615e-03, 0.00000000000000000000e+00
8.80427006632089614868e-03, -1.20618026703596115112e-02, 8.93816500902175903320e-02, 1.30962898765574209392e-05, 1.88752436637878417969e+00, 1.50954944547265768051e-03, 1.50000001303851604462e-03, 2.82100099138915538788e-03, 2.83438689075410366058e-03, 2.80481507070362567902e-03, 0.00000000000000000000e+00
